"feature","num_methods_outof4_feature_important_AD","num_methods_outof4_feature_important_PD","num_methods_outof4_feature_important_Dementia","num_methods_outof12_finding_feature_important","PheCode","Phenotype"
"Abdominal.aortic.aneurysm",2,4,1,7,442.11,"Abdominal aortic aneurysm"
"Abdominal.hernia",2,3,2,7,550,"Abdominal hernia"
"Abdominal.pain",3,4,4,11,785,"Abdominal pain"
"Abnormal.arterial.blood.gases",0,0,0,0,790.9,"Abnormal arterial blood gases"
"Abnormal.chest.sounds",0,0,1,1,512.3,"Abnormal chest sounds"
"Abnormal.coagulation.profile",0,1,1,2,286.9,"Abnormal coagulation profile"
"Abnormal.electrocardiogram..ECG...EKG.",4,4,4,12,426.7,"Abnormal electrocardiogram [ECG] [EKG]"
"Abnormal.findings.examination.of.lungs",3,2,3,8,514,"Abnormal findings examination of lungs"
"Abnormal.findings.on.exam.of.gastrointestinal.tract..abdominal.area",4,3,3,10,564.8,"Abnormal findings on exam of gastrointestinal tract/ abdominal area"
"Abnormal.findings.on.examination.of.urine",0,0,0,0,598,"Abnormal findings on examination of urine"
"Abnormal.findings.on.mammogram.or.breast.exam",0,0,0,0,611,"Abnormal findings on mammogram or breast exam"
"Abnormal.findings.on.study.of.brain.and.or.nervous.system",0,0,0,0,346,"Abnormal findings on study of brain and/or nervous system"
"Abnormal.function.study.of.cardiovascular.system",2,0,1,3,429.2,"Abnormal function study of cardiovascular system"
"Abnormal.glucose",0,0,0,0,250.4,"Abnormal glucose"
"Abnormal.granulation.tissue",0,0,0,0,701.5,"Abnormal granulation tissue"
"Abnormal.heart.sounds",1,4,2,7,396,"Abnormal heart sounds"
"Abnormal.involuntary.movements",4,4,4,12,350.1,"Abnormal involuntary movements"
"Abnormal.mammogram",1,2,1,4,611.1,"Abnormal mammogram"
"Abnormal.Papanicolaou.smear.of.cervix.and.cervical.HPV",0,0,0,0,792,"Abnormal Papanicolaou smear of cervix and cervical HPV"
"Abnormal.posture",1,2,1,4,781.2,"Abnormal posture"
"Abnormal.reflex",2,1,2,5,350.5,"Abnormal reflex"
"Abnormal.results.of.function.study.of.kidney",0,3,0,3,589,"Abnormal results of function study of kidney"
"Abnormal.results.of.function.study.of.liver",2,3,4,9,573.7,"Abnormal results of function study of liver"
"Abnormal.results.of.function.study.of.pulmonary.system",2,0,2,4,514.1,"Abnormal results of function study of pulmonary system"
"Abnormal.results.of.function.study.of.thyroid",1,1,1,3,246.7,"Abnormal results of function study of thyroid"
