feature,num_methods_outof3_feature_important_AD,num_methods_outof3_feature_important_PD,num_methods_outof3_feature_important_Dementia,num_methods_outof9_finding_feature_important,PheCode,Phenotype
Intestinal.infection,0,0,0,0,8,Intestinal infection
Bacterial.enteritis,0,0,0,0,8.5,Bacterial enteritis
Intestinal.e.coli,0,0,0,0,8.51,Intestinal e.coli
Intestinal.infection.due.to.C..difficile,2,1,1,4,8.52,Intestinal infection due to C. difficile
Viral.Enteritis,0,1,0,1,8.6,Viral Enteritis
Intestinal.infection.due.to.protozoa,0,0,0,0,8.7,Intestinal infection due to protozoa
Tuberculosis,2,0,0,2,10,Tuberculosis
Diseases.due.to.other.mycobacteria,0,0,0,0,31,Diseases due to other mycobacteria
Leprosy,0,0,0,0,31.1,Leprosy
Septicemia,3,3,2,8,38,Septicemia
Gram.negative.septicemia,0,1,1,2,38.1,Gram negative septicemia
Gram.positive.septicemia,0,1,1,2,38.2,Gram positive septicemia
Bacteremia,2,1,2,5,38.3,Bacteremia
Bacterial.infection.NOS,2,3,3,8,41,Bacterial infection NOS
Staphylococcus.infections,1,1,0,2,41.1,Staphylococcus infections
Methicillin.sensitive.Staphylococcus.aureus,0,0,1,1,41.11,Methicillin sensitive Staphylococcus aureus
Methicillin.resistant.Staphylococcus.aureus,0,0,1,1,41.12,Methicillin resistant Staphylococcus aureus
Streptococcus.infection,1,3,2,6,41.2,Streptococcus infection
Rheumatic.fever...chorea,0,0,0,0,41.21,Rheumatic fever / chorea
E..coli,1,2,1,4,41.4,E. coli
H..pylori,2,1,1,4,41.8,H. pylori
Infection.with.drug.resistant.microorganisms,0,0,1,1,41.9,Infection with drug-resistant microorganisms
Herpes.zoster,0,1,0,1,53,Herpes zoster
Herpes.zoster.with.nervous.system.complications,0,0,1,1,53.1,Herpes zoster with nervous system complications
Herpes.simplex,2,1,0,3,54,Herpes simplex
Viral.hepatitis,0,0,0,0,70,Viral hepatitis
Viral.hepatitis.A,0,0,0,0,70.1,Viral hepatitis A
Viral.hepatitis.B,1,0,0,1,70.2,Viral hepatitis B
Viral.hepatitis.C,3,2,0,5,70.3,Viral hepatitis C
Chronic.hepatitis,1,0,2,3,70.4,Chronic hepatitis
Hepatitis.NOS,2,1,0,3,70.9,Hepatitis NOS
Human.immunodeficiency.virus..HIV..disease,1,1,1,3,71,Human immunodeficiency virus [HIV] disease
HIV.infection..symptomatic,1,1,1,3,71.1,"HIV infection, symptomatic"
Viral.warts...HPV,0,0,0,0,78,Viral warts & HPV
Viral.infection,1,1,1,3,79,Viral infection
Varicella.infection,0,0,0,0,79.1,Varicella infection
Infectious.mononucleosis,0,0,0,0,79.2,Infectious mononucleosis
Viremia..NOS,0,0,0,0,79.9,"Viremia, NOS"
Postoperative.infection,1,0,2,3,80,Postoperative infection
Infection.inflammation.of.internal.prosthetic.device..implant..and.graft,2,0,1,3,81,Infection/inflammation of internal prosthetic device; implant; and graft
Graft.versus.host.disease,0,0,0,0,81.1,Graft-versus-host disease
Acute.graft.versus.host.disease,0,0,0,0,81.11,Acute graft-versus-host disease
Chronic.graft.versus.host.disease,0,0,0,0,81.12,Chronic graft-versus-host disease
Sexually.transmitted.infections..not.HIV.or.hepatitis.,1,1,2,4,90,Sexually transmitted infections (not HIV or hepatitis)
Gonococcal.infections,0,0,0,0,90.2,Gonococcal infections
Venereal.diseases.due.to.Chlamydia.trachomatis,0,0,0,0,90.3,Venereal diseases due to Chlamydia trachomatis
